Date,Description,Type,Primary Category,Sub Category,Vendor,Tax/Reason,Note,Amount,,
12/12/23,NUGGET MARKET #6,DEBIT,,,,,,-14.48,,
12/12/23,NUGGET MARKET #6,DEBIT,,,,,,-179.05,,
12/09/23,GREEN ACRES  ROCKLIN,DEBIT,,,,,,-62.64,,
12/09/23,ONCE UPON A CHILD,DEBIT,,,,,,-15.09,,
12/09/23,PANERA BREAD #202208 P,DEBIT,,,,,,-51.73,,
12/09/23,POSH BAGEL,DEBIT,,,,,,-9.67,,
12/09/23,ROSS STORES #1200,DEBIT,,,,,,-21.21,,
12/09/23,SQ *CHOCOLATE FISH COF,DEBIT,,,,,,-6.35,,
12/08/23,7-ELEVEN 34671,DEBIT,Automotive,Gas,,,,-54.41,,
12/08/23,CHICK-FIL-A #01731,DEBIT,,,,,,-9.68,,
12/08/23,CHIPOTLE 1953,DEBIT,,,,,,-15.21,,
12/08/23,COCA COLA SACRAMENTO,DEBIT,,,,,,-4.95,,
12/08/23,IN-N-OUT ROSEVILLE,DEBIT,,,,,,-23.81,,
12/08/23,LAKE NATOMA INN,DEBIT,,,,,,-281.28,,
12/08/23,PANDA EXPRESS #849,DEBIT,,,,,,-36.26,,
12/08/23,SEPHORA FOLSOM,DEBIT,,,,,,-98.99,,
12/08/23,SHELL OIL 574430148QPS,DEBIT,,,,,,-79.26,,
12/08/23,STARBUCKS STORE 05499,DEBIT,,,,,,-36.7,,
12/08/23,WHOLEFDS FOL 10447,DEBIT,,,,,,-6.29,,
12/07/23,STARBUCKS STORE 13400,DEBIT,,,,,,-6.95,,
12/07/23,STARBUCKS STORE 13400,DEBIT,,,,,,-36.7,,
12/06/23,SP PORTLAND LEATHER,DEBIT,,,,,,-102.19,,
12/06/23,WAL-MART #3652,DEBIT,,,,,,-17.08,,
12/06/23,WALMART.COM,DEBIT,,,,,,-40.46,,
12/05/23,CHEVRON 0376769,DEBIT,,,,,,-90.37,,
12/05/23,TARGET        00022681,DEBIT,,,,,,-293.79,,
12/02/23,IN-N-OUT NATOMAS 2,DEBIT,,,,,,-29.53,,
12/02/23,LOWES #02755*,DEBIT,,,,,,-51.14,,
12/02/23,LOWES #02755*,DEBIT,,,,,,-202.36,,
12/01/23,DFS Daniel K. Inouye I,DEBIT,,,,,,-23.03,,
12/01/23,SHACK 4 GATE 29 HNL,DEBIT,,,,,,-12.13,,
12/01/23,STARBUCKS G27 HNL,DEBIT,,,,,,-36.23,,
11/30/23,ANNUAL FEE,DEBIT,Fee,Annual,,,,-89,,
11/28/23,UH WAIKIKI AQUA GIFT S,DEBIT,,,,,,-33.1,,
11/27/23,PANDA EXPRESS 508,DEBIT,,,,,,-38,,
11/27/23,STARBUCKS STORE 20315,DEBIT,,,,,,-14.97,,
11/26/23,AIM LIKELIKE 031517QPS,DEBIT,,,,,,-80.64,,
11/26/23,BEE & TEA,DEBIT,,,,,,-5.97,,
11/22/23,FLAVORS OF THE WORLD,DEBIT,,,,,,-44.6,,
11/22/23,SQ *HAWAIIAN GIFTS (AL,DEBIT,,,,,,-40.84,,
11/21/23,7-ELEVEN #54275,DEBIT,Automotive,Gas,,,,-24.65,,
11/21/23,DOUBLE THREE,DEBIT,,,,,,-12.15,,
11/21/23,NICOS KAILUA,DEBIT,,,,,,-141,,
11/21/23,WHOLEFDS KAO #10368,DEBIT,,,,,,-109.62,,
11/20/23,18 ZIPPYS KAILUA,DEBIT,,,,,,-75,,
11/20/23,SSA HONOLULU ZOO,DEBIT,,,,,,-9.37,,
11/20/23,SSA HONOLULU ZOO,DEBIT,,,,,,-52.2,,
11/19/23,VALLEY OF TEMPLES_RET,DEBIT,,,,,,-41.87,,
11/17/23,ORKIN  LLC 002,DEBIT,,,,,,-53,,
11/16/23,FAMILY TREE MID WIFERY,DEBIT,,,,,,-2400,,
11/15/23,TARGET        00026971,DEBIT,,,,,,-44.66,,
11/15/23,TARGET        00026971,DEBIT,,,,,,-236.41,,
11/15/23,WHOLEFDS KAO #10368,DEBIT,,,,,,-28.76,,
11/14/23,0423 SMF GOOD DAY SAC,DEBIT,,,,,,-40.27,,
11/14/23,HAWAIIAN  1734203167022,DEBIT,,,,,,-30,,
11/14/23,HAWAIIAN  1734203167023,DEBIT,,,,,,-30,,
11/14/23,SMF FARMFORKSKY,DEBIT,,,,,,-45.93,,
11/13/23,CHICK-FIL-A #03730,DEBIT,,,,,,-29.16,,
11/13/23,ROSS STORES #1879,DEBIT,,,,,,-25,,
11/13/23,TARGET        00022681,DEBIT,,,,,,-68.29,,
11/11/23,NUGGET MARKET #6,DEBIT,,,,,,-120.38,,
11/10/23,CHEVRON 0376769,DEBIT,,,,,,-89.51,,
11/10/23,SQ *BABY VIEW 2 YOU,DEBIT,,,,,,-265,,
11/09/23,FRANKLIN RANCH PET HOS,DEBIT,,,,,,-154.5,,
11/09/23,PANDA EXPRESS #849,DEBIT,,,,,,-38,,
11/08/23,ADALBERTO'S MEXICAN FO,DEBIT,Food,Fast Food,Adalberto,,,-12.5,,
11/08/23,MCDONALD'S F32561,DEBIT,,,,,,-7.13,,
11/08/23,ROSEVILLE KIDS DENTIST,DEBIT,,,,,,-32.1,,
11/07/23,ORANGEVALE GROCERY O,DEBIT,,,,,,-283.46,,
11/07/23,ROMANS PIZZA,DEBIT,,,,,,-75.98,,
11/07/23,STARBUCKS STORE 06986,DEBIT,,,,,,-14.15,,
11/07/23,WALMART.COM,CREDIT,,,,,,117.96,,
11/04/23,BIOMECHANIC CHIROPRACT,DEBIT,,,,,,-4127,,
11/04/23,SHELL OIL 574432235QPS,DEBIT,,,,,,-61.65,,
11/04/23,TST* Garden of Eatn -,DEBIT,,,,,,-10.02,,
11/03/23,IN N OUT BURGER 132,DEBIT,,,,,,-31.95,,
11/02/23,NUGGET MARKET #6,DEBIT,,,,,,-90.78,,
11/02/23,STARBUCKS STORE 06986,DEBIT,,,,,,-31.4,,
11/02/23,TARGET        00022681,DEBIT,,,,,,-226.92,,
11/01/23,Payment Received,CREDIT,,,,,,2585.69,,
10/31/23,ROMANS PIZZA,DEBIT,,,,,,-89.64,,
10/31/23,WALMART.COM,DEBIT,,,,,,-287.42,,
10/29/23,CHEVRON 0376769,DEBIT,,,,,,-80,,
10/28/23,NUGGET MARKET #6,DEBIT,,,,,,-134.2,,
10/26/23,KFC/AW #213,DEBIT,,,,,,-17.8,,
10/25/23,MANCHURIAN INDIANCUISI,DEBIT,,,,,,-67.59,,
10/25/23,SQ *FALLING PRICES SUN,DEBIT,,,,,,-95.7,,
10/25/23,THE HOME DEPOT #1846,DEBIT,,,,,,-164.67,,
10/24/23,TARGET        00010256,DEBIT,,,,,,-92.52,,
